  years of   study in 2017 E.C,Academic program (Bsc),Age,Could you briefly share In what ways have these experiences shaped your academic choices and career development? ,Sum of Cumulative GPA,Do you want to participate in the research interview?,Fields,Gender,Have you participated in any of the following exposure experiences? (Select all that apply),Sum of How have Career fairs exposure influenced your career choices? ,Sum of How have Family influenced your career choices? ,Sum of How have Friends influenced your career choices? ,Sum of How have Internships exposure influenced your career choices?,Sum of How have Job shadowing exposure influenced your career choices?,Sum of How have Mentorship programs exposure influenced your career choices?,Sum of How have University coursework exposure influenced your career choices? ,Sum of How often do you use the career guidance services offered by the university?,Sum of How satisfied are you with the career guidance services provided by the university?,I picked my academic program primarily because of my grades,Language,Study_Category,Sum of To what extent do you feel that your exposure experiences have provided a clear sense of direction for your career?,What additional types of exposure experiences do you think the university should offer to better support students' career development?,What additional types of exposure experiences do you think the university should offer to better support students' career development?.1,What improvements would you suggest for the university’s career guidance services?,Which University are you enrolled in?
4,Construction technology and management,21-23,They helped me how the industry works practically,3.67,Yes,Business & Economics,Male,"InternshipsCareer fairs, Searching professionals through social networks",2,3,4,3,4,5,3,1,1,No,English,Upper,4,Appreciate,No response,The university had better to make career expo yearly for their students,AAU
4,CoTM,27 and above,It is difficult to pressure time by the program.,2.74,No,Other,Male,Internships,2,3,3,4,4,2,3,4,4,Yes,Amharic,Upper,4,No response,No response,He showed me that I could give a sufficient time for education and that I could achieve good results.,AASTU
4,CS,18-20,Getting a chance to see how the real world working environment looked reinforced my aspiration to have a career in software engineering industry.,3.87,No,STEM,Male,Internships,1,1,1,4,1,1,4,1,1,No,English,Upper,4,Advisors to advice students on career development and events where recruiters from industry companies come to campus to communicate their work with students and recruit.,No response,There are no career guidance services in my college.,ACT American College of Technology
4,CS,21-23,I am happy and you have not been,3.50,Yes,STEM,Female,InternshipsSearching professionals through social networks,5,3,1,5,5,5,5,5,4,Yes,Amharic,Upper,5,deal with,deal with,Quality,Admas University
4,CS,21-23,I feel like I could have done better if I choose my own academic choice but I don't exactly hate what I have now but I am not good at it,3.01,Yes,STEM,Female,Internships,4,4,3,4,3,4,4,1,2,No,English,Upper,2,No response,No response,If it would happen again,St. Mary's  University
4,CS,21-23,"I gave been in interested in computers generally since childhood trying to figure things, so my interest guided me to further my interest in this field",3.40,No,STEM,Male,"InternshipsJob shadowing, University coursework related to career development, Searching professionals through social networks",3,2,3,4,4,3,2,1,1,No,English,Upper,3,Show each branch of the field clearly,No response,"There's not much guidance on my uni, I had some conflict in choosing my branch which computer science has vast branch. 
But I'm time I choose my specialization.",ACT American College of Technology
4,CS,21-23,"I have been interested in my field of study since i was a child ,so I had no external influence in deciding to joining the IT field",2.90,No,STEM,Male,Internships,1,1,1,3,1,1,3,1,1,No,English,Upper,3,Assigning internship place instead of letting the student decide by analyzing there strength.,Assigning internship place instead of letting the student decide by analyzing there strength.,To have career guidance services,HiLCoE College
4,CS,21-23,"I was always been attracted to technology and I like to try something new.I wanted to do something significant for my community, therefore I choose Computer Science.",3.20,Yes,STEM,Male,"University coursework related to career development, Searching professionals through social networks",3,3,5,5,4,5,4,3,4,No,English,Upper,3,"A tech festival, inviting guests(professionals),training and competition and collaborative work with companies.",No response,"I was at Bahirdar University for 2 years , they have the best career development center, specially they invite the professionals , set up festivals, trainings and seminars.but currently I'm at Mekelle University there is no organized guidance as it used tobe.",Mekelle University
4,CS,21-23,"I was expecting the curriculum to prepare me for career development and was focusing on class , but when I realised that it is totally different I choose to teach my self the skills that I need",3.20,Yes,STEM,Male,"InternshipsCareer fairs, Searching professionals through social networks",4,2,3,4,2,4,1,2,2,No,English,Upper,3,They should bring career exposure from the beginning No responset only on graduation year,They should bring career exposure from the beginning not only on graduation year,Focus on both practical experience and academic,AAU
4,CS,21-23,In every aspect of my programming life.,3.40,No,STEM,Male,Internships,1,1,1,4,1,1,3,2,2,No,English,Upper,2,No response,No response,They should become more practical.,Wachemo University
4,CS,21-23,"Internships: These short-term work experiences have given me a practical understanding of the industry and have allowed me to apply theoretical knowledge in real-world scenarios. Through internships, I have been able to explore various roles, which helped narrow my career focus, guiding me toward specific fields like software engineering.

Job Shadowing: By observing professionals in their daily work environments, I gained insight into the day-to-day responsibilities of various roles. This exposure helped me assess which roles align with my strengths and interests, influencing the types of jobs I actively pursue.

Mentorship Programs: Long-term mentorship has been instrumental in my career decisions. My mentors have provided invaluable guidance on career paths, skill development, and overcoming challenges. Their experience has shaped my understanding of the industry and inspired me to pursue certain specializations.

Career Fairs: Attending career fairs has exposed me to various companies and industries. The interaction with recruiters has helped me understand what employers look for, allowing me to tailor my academic and career plans to better align with market demands.

University Coursework: My coursework has provided the foundational knowledge needed for my career. It has also helped me identify my areas of interest and strength, guiding me toward courses and skills that are essential for my career path.

Family and Friends: Both my family and friends have had an indirect but important influence on my career choices. Their support, advice, and shared experiences have helped me weigh different career options and make more informed decisions.

Collectively, these experiences have broadened my perspective, helped refine my academic focus, and directed me toward a career in technology and software engineering.",3.00,Yes,STEM,Male,Internships,3,4,4,3,3,4,3,2,1,Yes,English,Upper,4,I have mentioned them all.,No response,"To improve the university’s career guidance services, I would suggest the following enhancements:

Personalized Career Counseling: Offer more tailored career advice by providing one-on-one counseling sessions that cater to individual students' goals, strengths, and areas of improvement. This would help students navigate their unique career paths more effectively.

Industry-Specific Mentorship Programs: Create structured mentorship programs that pair students with professionals from various industries, allowing for more personalized guidance, networking opportunities, and practical advice relevant to specific career fields.

Increased Internship and Job Placement Support: Strengthen partnerships with companies to provide more internship and job placement opportunities. Offering resources like resume reviews, interview preparation, and workshops on how to secure internships could also better prepare students for the job market.

Alumni Network Engagement: Leverage the alumni network by hosting events where students can meet successful graduates in their fields of interest. This provides a chance for students to gain insights, mentorship, and job opportunities from alumni who understand the challenges they face.

Regular Career Workshops and Webinars: Offer workshops that focus on essential career skills such as resume building, networking, interview preparation, and LinkedIn optimization. These sessions should be regularly scheduled to provide continuous support throughout the academic year.

Career Fairs with Diverse Industry Representation: Expand career fairs to include a broader range of industries and companies, ensuring that students from all fields of study have relevant opportunities to explore and engage with potential employers.

Job Shadowing Programs: Introduce more structured job shadowing programs that allow students to observe professionals in their field of interest, providing them with a realistic sense of what certain roles and industries entail.

Enhanced Online Resources: Improve the university’s career guidance website by including updated job boards, career planning tools, and resources for different industries. Additionally, providing virtual career counseling and access to recorded webinars would benefit students who cannot attend in-person sessions.

Tracking Career Outcomes: Implement a system for tracking and analyzing graduates' career outcomes to measure the effectiveness of the career guidance services and identify areas for further improvement.",ASTU
4,CS,21-23,it gives me to make  a network with my peers and get advice from professional,3.00,Yes,STEM,Female,"University coursework related to career development, Searching professionals through social networks",5,3,3,5,5,4,5,3,3,Yes,Amharic,Upper,4,Make some clubs in the campus,Make some clubs in the campus,In our university there is no ideas about this i get some opportunities out side in person,Werabe University
4,CS,21-23,It was cool,3.10,Yes,STEM,Female,Internships,2,1,2,3,1,1,2,2,2,Yes,Amharic,Upper,5,If various clubs occur,No response,no,Werabe University
4,CS,21-23,"Mostly my family and friends exposure to computers, made me to have some interest and later to take it as a career in life.",4.00,Yes,STEM,Male,Internships,2,3,5,3,3,2,5,3,1,No,English,Upper,4,Technical apects.,No response,It would be better if the universities focus and bring people from the careers or fields that we are going to get into.,St. Mary's University
4,CS,21-23,"My academic and career choices have mostly been shaped by two main experiences: my university coursework at Unity University and the ALX Software Engineering Program, which was a year-long program. University coursework gave me a solid foundation and helped me figure out what I enjoy. The 12-month ALX program enhanced my skills with practical training and support, preparing me for a career in software engineering. My family had a very slight influence, but my friends did not really affect my career decisions.",3.20,Yes,STEM,Female,"Mentorship programs, University coursework related to career development, Searching professionals through social networks",1,2,1,1,1,4,4,1,1,No,English,Upper,4,"Since my exposure experiences were No responset provided by the university, I think the university should offer opportunities like internships, job shadowing, and networking events. These experiences could help students gain practical insights and better direct their career paths.","Since my exposure experiences were not provided by the university, I think the university should offer opportunities like internships, job shadowing, and networking events. These experiences could help students gain practical insights and better direct their career paths.","Since there are no career guidance services at our school, I suggest starting a career guidance program. This could include help with career advice, job searching, and interview skills.",Unity University
4,CS,21-23,"My academic choices and career Dev't have been significantly influenced by the experiences I've gained. Through a mentorship program, I’ve learned invaluable lessons on avoiding common pitfalls and recognizing that rejection is often just a redirection. It's clear that continuous learning from one’s mistakes is crucial for personal growth. Additionally, my internship provided hands-on experience, allowing me to gain deeper insights and practical knowledge that far surpassed traditional learning.",3.00,No,STEM,Female,"InternshipsMentorship programs, University coursework related to career development",4,4,1,3,3,4,3,2,2,No,English,Upper,3,No response,No response,1. To make it more comprehensive and friendly for all students out there.                                                2. To held such kind of services for the students and to take it seriously.                                                 3. To organize events at least twice a month and having a guest speakers that will mentor students.,HiLCoE College
4,CS,21-23,"My experiences have shaped my academic choice and career development by providing me with hands on exposure to technology and problem solving. Through internships, projects i have gained a deeper understanding of how computer science can be applied to solve real world problems. These experience have reinforced my decision to pursue a career in technology, particularly in software development , AI and innovation, where i can continue to learn and contribute meaningfully.",3.00,No,STEM,Male,"InternshipsMentorship programs, University coursework related to career development",3,4,5,5,3,5,1,3,3,Yes,English,Upper,3,"Again instead of regular course i think it better to have a hands on experiments.

Thanks !",No response,Hands on exercise instead of bubbling choice equations i think that's far away from the actual industry want. totally different the carriculum and the industry skills,Woldia University
4,CS,21-23,My exposure to things above have extremely influenced my choices,3.00,No,STEM,Female,InternshipsSearching professionals through social networks,2,4,3,3,2,3,3,1,2,No,English,Upper,4,Bring in successful professionals in the sector and tell them about their paths and experiences.,Bring in successful professionals in the sector and tell them about their paths and experiences.,They need to be more welcoming and attract students by hosting interesting fairs,St. Mary's  University
4,CS,21-23,No responsethey didnt,3.72,No,STEM,Male,"InternshipsJob shadowing, Career fairs, University coursework related to career development",3,1,1,2,3,1,4,1,1,No,English,Upper,4,No response,No response,There isnt one,AAU
4,CS,21-23,"These experiences have played a significant role in shaping my academic choices and career development. My internship at Auction Ethiopia S.C. provided practical exposure to full-stack development, where I enhanced my technical skills by building a fully functional URL shortener using Django and front-end technologies. This hands-on experience reinforced my passion for software development and clarified my interest in pursuing a career in this field. 

Career fairs introduced me to industry trends and employment opportunities, broadening my understanding of the job market and the skills required to succeed. University coursework has provided a strong theoretical foundation, equipping me with essential problem-solving and analytical skills. While I have not yet participated in mentorship programs or job shadowing, I recognize their potential to offer valuable guidance and real-world insights, and I plan to seek out these opportunities in the future.",3.20,Yes,STEM,Female,"InternshipsUniversity coursework related to career development, Searching professionals through social networks",4,5,1,2,3,3,5,5,2,Yes,English,Upper,3,"To better support students' career development, the university should consider offering the following additional types of exposure experiences:  

Project-Based Learning Collaborations Partner with companies to create real-world, project-based learning experiences where 

Entrepreneurship Incubation and InNo responsevation Labs Support students with entrepreneurial aspirations by providing access to resources, mentorship, and funding for their start-up ideas.  

On-Campus Company Recruitment Drives Increase on-campus recruitment events where companies can scout talent, offer internships, and provide direct hiring opportunities.  

Case Competitions and Hackathons
Organize case competitions and hackathons to allow students to apply their skills in problem-solving, teamwork, and critical thinking.  

These experiences would equip students with practical skills, industry insights, and professional networks, better preparing them for career success.",No response,"To enhance the university's career guidance services, I would suggest the following improvements:  

1. Increased Access to Mentorship Programs Establish a structured mentorship program where students can connect with industry professionals and alumni for personalized guidance and career advice.  

2. Job Shadowing Opportunities: Facilitate job shadowing experiences with partner companies to give students a clearer understanding of workplace expectations and career paths.  

3. More Industry-Specific Workshops and Seminars Offer workshops on in-demand skills, emerging industry trends, and sector-specific career paths to better prepare students for the job market.  

4. Resume and Interview Preparation Support Provide dedicated sessions on resume writing, interview techniques, and mock interviews to help students present themselves effectively to potential employers.  

5. Enhanced Internship Placement SupportStrengthen partnerships with companies to offer more diverse internship opportunities, allowing students to gain hands-on experience in their chosen fields.  

6. Regular Career Fairs and Networking Events Organize frequent career fairs and networking sessions to help students connect directly with employers and explore potential job opportunities.  

7. Personalized Career Counseling: Increase access to one-on-one career counseling, allowing students to receive tailored advice and develop personalized career development plans.  

These improvements would provide students with a more comprehensive support system, better preparing them for academic and career success.",AAU
4,CS,21-23,"These experiences have profoundly influenced my academic choices and career development. Internships provided practical exposure and helped me understand industry requirements, guiding my selection of relevant courses and skills to focus on. Mentorship programs offered valuable advice and direction, shaping my career path by connecting me with experienced professionals. University coursework aligned my learning with real-world applications, enhancing my preparedness for future roles. Lastly, connecting with professionals through social networks broadened my perspective, exposed me to diverse career opportunities, and allowed me to stay updated on industry trends. Together, these experiences have refined my goals and career trajectory.",3.61,Yes,STEM,Female,"InternshipsMentorship programs, University coursework related to career development, Searching professionals through social networks",5,5,5,5,5,5,5,4,4,No,English,Upper,3,"Job Shadowing Programs: Allow students to observe professionals in their field of interest.
Industry-Specific Bootcamps: Provide hands-on training in high-demand skills.
Study Abroad Opportunities: Offer international internships or exchange programs.
Startup Incubation Support: Help students explore entrepreneurship through mentoring and funding.",No response,"Provide more tailored career counseling and guidance.
Strengthen partnerships with employers for diverse opportunities.
Host more frequent workshops, career fairs, and networking events.
Offer better online resources, including job boards and career tools.",Salale University
4,CS,21-23,These experiences showed me how interesting the tech world is and made me realize that web development is the perfect path for me to combine my skills and creativity.,3.50,Yes,STEM,Female,"InternshipsUniversity coursework related to career development, Searching professionals through social networks",1,1,1,4,1,1,4,4,2,No,English,Upper,4,No response,No response,It will be good if they add experience sharing programs inviting people who have years of experience from various sectors.,St. Mary's  University
4,CS,21-23,They helped me alot,3.70,No,STEM,Female,InternshipsUniversity coursework related to career development,5,4,3,5,3,5,5,5,5,No,Amharic,Upper,5,No response,No response,Nothing to add,HiLCoE College
4,CS,21-23,They helped me get difference networks and for my future job opportunities,3.50,No,STEM,Female,Job shadowing,4,4,4,4,4,4,4,3,3,Yes,English,Upper,4,Show they how work is done in real life,No response,It is good.,AAU
4,CS,24-26,"i knew what my course is, its real life application, and its sense world wide.",3.45,No,STEM,Male,"InternshipsCareer fairs, University coursework related to career development, Searching professionals through social networks",3,3,4,4,3,2,5,4,3,No,English,Upper,4,competition with other universitis students. internship/visit at software companies,No response,not to focus on finishing the planned courses only. but to deeply teach reall world applicable subjects in detail.,Admas University
4,CS,24-26,internship are hands on experience to real world projects and methods of problem solving with in analysis,3.50,No,STEM,Male,Internships,1,1,1,3,3,1,1,2,2,No,English,Upper,3,they should have changed the curriculum and they've to be up-to-date to the market to be competitive and more constant in changing the techNo responselogy site😏,No response,"if you're in computing and technology collage you've to push your self to the limit and never stop learning and it's you vs you. do project, be up-to-date, be open to lean and to share what you knows and finally surround your self with growth community",Debre Birhan University
4,CSE,21-23,Internship program gave me interest in frontend development which I hadn't considered before,3.80,Yes,STEM,Male,InternshipsUniversity coursework related to career development,3,3,4,4,3,3,4,3,4,No,English,Upper,3,No response,No response,TO have it more frequently. by inviting guests from different fields,ASTU
4,CSE,21-23,"Internships played a significant role in shaping my career choices by providing valuable hands-on experience and insights into the industry. Job shadowing gave me a glimpse into professionals' daily routines, moderately influencing my career decisions. Mentorship programs have been crucial, offering guidance and support that significantly impacted my career trajectory.

While career fairs offered networking opportunities and exposure to job prospects, their influence on my decisions was slight. In contrast, university coursework, family, and friends did not impact my choices. My decisions are primarily driven by personal interests, particularly my passion for computer programming and my entrepreneurial aspirations in the tech industry.",3.50,Yes,STEM,Male,"InternshipsMentorship programs, University coursework related to career development, Searching professionals through social networks",2,1,1,4,3,4,1,4,1,No,English,Upper,2,No response,No response,"I most of the time utilize the university's career guidance services.

My satisfaction with the university's career guidance services is very dissatisfied.

To enhance the university's career guidance services, I recommend focusing more on current market trends and industry demands to better prepare students for the ever-evolving job market. Providing up-to-date information on in-demand skills, technologies, and job opportunities could significantly improve the relevance and effectiveness of the career guidance services. Additionally, offering more practical experiences, networking opportunities, and connections with industry professionals could better equip students for successful career transitions.",AASTU
4,CSE,21-23,No response I can Share,3.80,Yes,STEM,Male,"InternshipsMentorship programs, INSA Summer Camp For Cyber Security",4,1,1,4,4,4,4,5,5,Yes,English,Upper,4,like those thing more clearly and apply strongly is better exposure experience to support students' career development,No response,there is no suggestion our of university,ASTU
4,Degree,21-23,"They exposed me to real-world challenges, built my problem-solving and collaboration skills, and inspired me to pursue a field where I can make a meaningful impact. As a result, I chose a career path aligned with technology and innovation, focusing on areas where I can apply both creativity and analytical thinking",3.32,No,Other,Male,"University coursework related to career development, Searching professionals through social networks",4,3,3,4,4,4,3,3,3,Yes,English,Upper,4, increasing industry exposure through internships and mentorship programs.,No response,I would suggest offering more personalized career counseling and increasing industry exposure through internships and mentorship programs. This would help students make informed decisions and gain practical experience early on,AASTU
4,ECE,21-23,The exposure I gained in my internship has pushed me to further explore frontend development which I hadn't considered before. My brother was a software engineer so he may have influence the degree I am pursuing indirectly as I look up to him. and my friends also pursue related fields so they influenced me indirectly as well.,3.80,No,Other,Male,Internships,1,2,2,4,1,1,1,1,2,No,English,Upper,4,No response,No response,I would suggest making the programs more frequent and announcing them before hand. I usually hear about the events after it has passed.,ASTU
4,Economics,21-23,The influence is much more intrinsic than that of the outer,3.70,No,STEM,Female,InternshipsSearching professionals through social networks,2,4,3,4,3,4,2,3,2,No,Amharic,Upper,3,No response,No response,Just to be realistic and all inclusionary,AAU
4,Electrical and Computer Engineering,24-26,To develop future knowledge,3.70,Yes,STEM,Male,Internships,5,4,5,4,3,4,4,4,5,No,English,Upper,4,Ai developement,No response,good,Jimma University
4,Electrical Engineer,21-23,I have decided it by my own.,3.62,Yes,STEM,Male,Internships,5,4,4,4,5,4,5,3,1,No,English,Upper,5,Should make connect to the potential clients,No response,They should work for real.,AAU
4,Health Informatics,21-23,I had no clear interest in my academic choices so i was looking for a field with a good job opportunities and was highly influenced by family to join the health sector.,3.60,No,STEM,Male,University coursework related to career development,1,5,3,1,1,1,2,1,1,No,English,Upper,3,No response,No response,I have never taken part in those services,Hawassa University
4,Health Informatics,24-26,the is no any kind of experience,3.60,Yes,STEM,Male,Mentorship programs,1,5,2,1,1,1,3,2,1,No,Amharic,Upper,1,Understanding curriculum with the real word occupations,No response,It is better giving experience to improve professional related to field of studies.,Hawassa University
4,Horticulture,21-23,No response,3.23,No,Other,Male,ABIC,3,3,4,3,4,3,4,3,4,No,Amharic,Upper,4,Currently I don't kNo responsew,No response,ABIC,Hawassa University
4,Information Systems,21-23,"I made my academic choices first because of grade i got in to not my interest department ,but i transfer to to other second department which is related to the first one.",3.72,No,STEM,Male,University coursework related to career development,1,1,3,1,1,1,4,1,1,No,English,Upper,1,No response,No response,they must have continuous career guidance services not only during joining department of their respective,AAU
4,Information Systems,21-23,"Internships: Through internships, I've gained hands-on experience in web development, which solidified my interest in pursuing a career in tech. Working on real-world projects provided insights into the industry, helping me better understand the skills needed and the type of work I enjoy most.

Job Shadowing: Job shadowing helped me understand the daily operations of professionals in IT. By observing experienced developers, I learned practical workflows and problem-solving approaches that textbooks and courses often don't cover.

Mentorship Programs: Mentorship has been a game-changer. Having experienced professionals guide me, answer my questions, and provide feedback on my projects has given me the confidence and knowledge to explore more advanced areas in web development and software engineering.

Career Fairs: Career fairs opened my eNo response to the diversity of roles available in the tech industry. Engaging with different companies helped me refine my career goals and introduced me to potential employers and opportunities for internships.

University Coursework: University coursework has laid the theoretical foundation for my career. It helped me develop critical thinking and problem-solving skills, which I apply to real-world projects. The academic knowledge has reinforced my interest in areas like full-stack development and networking.",3.72,No,STEM,Male,Internships,5,1,1,5,5,5,3,1,2,Yes,English,Upper,3,No response,No response,"More Personalized Guidance: Offering one-on-one sessions with career counselors tailored to individual needs would help provide more relevant advice, whether it's about internships, job opportunities, or career paths.

Increased Industry Exposure: More connections with companies through networking events, guest speakers, or partnerships could help students get a better understanding of the job market and what skills are in demand.

Workshops on Soft Skills and Career Planning: Practical workshops focused on resume building, interview preparation, and personal branding could be added to help students feel more confident in their career search.

Improved Communication: Better communication about the services and events available would help more students engage with career services, as some may not be fully aware of what’s being offered.",AAU
4,Information Systems,21-23,"My academic choices and career development have been profoundly shaped by a series of formative experiences. Through internships, I gained valuable hands-on experience that not only clarified my career interests but also helped me develop essential skills relevant to my field. Job shadowing further enhanced my understanding of various professions, allowing me to observe daily responsibilities and tasks, which guided my academic focus. Participating in mentorship programs provided me with personalized guidance and insights into industry trends, boosting my confidence in pursuing specific paths. Career fairs opened my eNo response to a plethora of opportunities, helping me connect with potential employers and refine my networking and interview skills. Finally, my university coursework laid a solid foundation of knowledge, enabling me to explore different subjects and ultimately guiding me toward specialization in areas that resonate with my career aspirations. Together, these experiences have woven a rich tapestry that informs my academic journey and professional ambitions.",3.68,No,STEM,Male,Internships,3,2,3,3,3,3,3,3,3,No,English,Upper,3,"The university should offer additional exposure experiences such as industry-specific workshops, real-world project collaborations, global internships, and job shadowing opportunities with diverse companies to better support students' career development.",No response,"To enhance the university's career guidance services, I suggest implementing personalized career assessments to better align guidance with students' strengths and interests. Expanding workshops on resume building, interview preparation, and networking could provide essential skills across various fields. Increasing employer engagement and developing structured mentorship programs with alumni can offer valuable insights and networking opportunities. Additionally, creating an accessible online platform for resources, establishing peer support networks, and ensuring the availability of one-on-one counseling would further support students. Highlighting alumni success stories and organizing industry-specific events would inspire and connect students with potential career paths, ultimately creating a more effective career guidance framework.",AAU
4,Information Systems,21-23,"My experiences have fueled my passion for learning, guiding my academic focus and inspiring my career path in meaningful ways.",3.40,Yes,STEM,Male,"InternshipsMentorship programs, University coursework related to career development, Searching professionals through social networks",5,1,1,5,5,5,5,3,5,Yes,English,Upper,5,"Offer internships, job shadowing, guest lectures, networking events, service learning, research opportunities, global exposure, mentorship, and skill-building workshops.",No response,"Enhance personalized counseling, offer skill workshops, improve industry partnerships, create online resources, and establish alumni networking for better career guidance.",AAU
4,Information Systems,21-23,They did not affect,3.90,Yes,STEM,Male,Internships,3,1,1,3,4,4,3,4,5,Yes,Amharic,Upper,4,No response,No response,nothing else,AAU
4,Information Systems,21-23,They helped me by motivating myself.,3.59,Yes,STEM,Male,"InternshipsCareer fairs, University coursework related to career development",4,3,4,4,4,3,4,4,4,Yes,English,Upper,5,Exposure to real time experience,No response,Just be organise.,AAU
4,Information Technology,21-23,"no they did not
i chose it because it is in my interest",3.30,Yes,STEM,Male,Internships,1,1,1,1,1,1,1,1,1,No,English,Upper,5,"stimulating students by providing real world worker of that job, No responset teacher","stimulating students by providing real world worker of that job, not teacher",if they would not lie how hard the career would be,Hawassa University
4,Management,21-23,During my  internship experience I received a guide from the industry experts that influence my career,3.50,No,Business & Economics,Male,InternshipsUniversity coursework related to career development,3,1,1,3,1,3,4,3,5,No,English,Upper,3,"Training, orientation","Training, orientation",They should give all necessary information to the students before the students choose their Carter. One of the best option is to invite experts from different industry.,AAU
4,Management,21-23,"These experiences have greatly influenced my academic choices and career development. Internships have given me practical experience and valuable skills, while job shadowing has provided insight into specific job roles. Mentorship programs have offered guidance and support, and career fairs have exposed me to various industries and companies. University coursework has given me a solid foundation of knowledge and critical thinking skills, and the support of friends and family has kept me motivated and focused on my goals. Collectively, these experiences have helped me make informed decisions about my career and have been essential in my academic and professional journey.",3.30,Yes,Business & Economics,Female,"InternshipsUniversity coursework related to career development, Searching professionals through social networks",3,3,1,4,3,4,4,3,4,No,English,Upper,4,"Study aboard programs,volunteer opportunity",No response,"To work more on considering personalized career counseling, and also expanding career resources.",AAU
4,mechanical engineering,21-23,my cgpa was the only reason that i got enrolled into the department that i am currently in.,2.74,No,STEM,Male,Searching professionals through social networks,3,1,1,3,3,3,1,1,1,Yes,English,Upper,3,my answer is the same as the previous question,No response,universities should create a platform where students can learn from the experiences of  people who are working or have hand on experience in the department that they graduated from (not professors who have no clue about the working environment).,AASTU
4,Medical Laboratory,21-23,Those experiences especially job shadowing have helped me a lot.I saw a person in my surrounding who was a medical laboratorist.He was a clever university student when I was a kid.Then after I grown up and became a highschool student he graduated and got a work.I saw every steps of him and he was a hardworking and succussful person.He encouraged me a lot to join these kind of science so finally i joined these field.,3.70,Yes,Health & Medicine,Female,Internships,1,3,1,2,4,1,5,3,2,No,English,Upper,4,No response,No response,My suggestion for my university career guidance service is it have to be more comfortable and provided all equipments that are needed for students as much as possible with best guiders.,Wolaita Sodo University
4,Nurse,21-23,No response,3.50,Yes,STEM,Male,Job shadowing,3,2,5,5,5,3,1,5,4,Yes,English,Upper,4,3,3,1,Rift Valley University
4,Regular,21-23,They shaped my academic choices moderately,3.90,Yes,Other,Male,"InternshipsUniversity coursework related to career development, Different University clubs based activities",4,5,4,4,2,3,5,4,3,No,English,Upper,4,Job creativity and Entrepreneurship based experiences,Job creativity and Entrepreneurship based experiences,I suggest all universities have to develop career guidance services and make all students to participate in equal and fair way,Hawassa University
4,SE,18-20,I don't really have experience on most of these activities.,3.70,Yes,STEM,Male,Career fairs,2,2,1,1,1,1,1,1,3,No,English,Upper,1,Job fairs and career development programs,No response,They aren't doing enough work to begin with.,AASTU
4,SE,18-20,"My experiences with Prodigy InfoTech during my remote internship and involvement in mentorship programs at IIE have significantly shaped my academic choices and career development. These experiences deepened my interest in the tech world and fueled my passion for continuous learning. They taught me the importance of staying curious, exploring new technologies, and adapting to the ever-evolving tech landscape. As a result, I am committed to pursuing a career in technology, where I can continue to grow and make meaningful contributions.",3.50,Yes,STEM,Female,InternshipsMentorship programs,5,4,4,5,4,5,4,2,3,No,English,Upper,4,Internship and Co-op Programs,Internship and Co-op Programs,"I suggest that the university's career guidance services offer training and counseling sessions before students choose their career paths. This early intervention would help students better understand their interests and strengths, allowing them to make informed decisions and align their career choices with their passions. Providing exposure to various industries and career options early on would empower students to pursue paths that truly resonate with their aspirations.",Wachemo University
4,SE,18-20,They changed my thought on how the outside world is operating and what to expect after finishing my study.,3.93,No,STEM,Male,Searching professionals through social networks,3,2,1,4,3,3,4,1,2,No,English,Upper,4,No response,No response,"There is no such service in the university, i haven't heard of it so please make it happen",Haramaya University
4,SE,21-23,"""Family, friends, and projects are important in the university student's growth! And what does these help them?
- Improvement of so many skill: Certainly examine their skills, add many knowledge.
- Working: Control group work and communication is signed.
- Portofolio: Remaining a competitive work for a competitive work.

You will be able to further analyze all concerns and love the first king! ""🌟",3.50,Yes,STEM,Male,University coursework related to career development,3,4,4,4,4,3,4,4,2,Yes,Amharic,Upper,4,"'- Improvement of so many skill: Certainly examine their skills, add many kNo responsewledge.
- Working: Control group work and communication is signed.
- Portofolio: Remaining a competitive work for a competitive work.",No response,"""Family, friends, and projects are essential in the university student's growth! - POLICINGS: MORE MORE COMPLETE: COMPLETE ASPORTS. - AMERDING TO MORE. 🌟",Debre Birhan University
4,SE,21-23,a successful neighbour of mine in the field of software engineering initiated me to keep up the career I chose and the internships those I have participated help me to broaden my knowledge,3.20,No,STEM,Female,InternshipsSearching professionals through social networks,2,3,3,4,1,4,5,2,2,No,English,Upper,4,No response,No response,It should be strong enough to help guide junior career developers,AAU
4,SE,21-23,Alot because  it all was i real projects,3.60,Yes,STEM,Female,"Mentorship programs, University coursework related to career development, Searching professionals through social networks",3,1,2,4,4,5,2,4,2,No,English,Upper,4,Financial and psychology kNo responsewledge .,No response,By using create different workshop  and training .,BahirDar University
4,SE,21-23,As i mentioned above most of the experiences i got came from the courses i taken and the way i act in the university compound beyond that i didn't have any exposure to such experiences,3.98,Yes,STEM,Male,"University coursework related to career development, Searching professionals through social networks",3,4,5,1,1,1,3,1,3,No,English,Upper,5,Like hackathons and experience share with other fellow students on different universities,No response,I think they should be very easy and near for the students... Like the guidance service givers shiuld know the students very well and they need to shape their guidance strategy based on them,Debre Birhan University
4,SE,21-23,By painting the bigger picture of the job market and its saturation,3.40,Yes,STEM,Male,Mentorship programs,4,1,2,4,4,5,3,1,1,No,English,Upper,5,Real world applicable and frequent educational projects,No response,I have no knowledge of that,AASTU
